"id","age","race","gender","education"
1.0,46.0,"Asian","Male","Bachelors degree"
2.0,40.0,"Asian","Male","Bachelors degree"
3.0,70.0,"Asian","Male","Bachelors degree"
4.0,74.0,"Asian","Male","Bachelors degree"
5.0,39.0,"Asian","Male","Bachelors degree"
6.0,61.0,"Asian","Male","Less than Bachelors degree"
7.0,89.0,"Asian","Female","Bachelors degree"
8.0,79.0,"Asian","Female","Less than Bachelors degree"
9.0,70.0,"Asian","Female","Less than Bachelors degree"
10.0,61.0,"Asian","Female","Less than Bachelors degree"
11.0,36.0,"Asian","Female","Less than Bachelors degree"
12.0,43.0,"Asian","Female","Less than Bachelors degree"
13.0,35.0,"American Indian or Alaskan Native","Female","Less than Bachelors degree"
14.0,60.0,"American Indian or Alaskan Native","Female","More than Bachelors degree"
15.0,78.0,"American Indian or Alaskan Native","Female","Less than Bachelors degree"
16.0,66.0,"American Indian or Alaskan Native","Female","Bachelors degree"
17.0,90.0,"American Indian or Alaskan Native","Female","Bachelors degree"
18.0,43.0,"American Indian or Alaskan Native","Female","Bachelors degree"
19.0,67.0,"American Indian or Alaskan Native","Nonbinary","Bachelors degree"
20.0,90.0,"American Indian or Alaskan Native","Unspecified","Bachelors degree"
21.0,58.0,"American Indian or Alaskan Native","Male","Bachelors degree"
22.0,50.0,"American Indian or Alaskan Native","Male","Bachelors degree"
23.0,34.0,"American Indian or Alaskan Native","Male","Bachelors degree"
24.0,58.0,"Asian","Male","Less than Bachelors degree"
25.0,22.0,"Asian","Male","Less than Bachelors degree"
26.0,70.0,"Asian","Male","Less than Bachelors degree"
27.0,52.0,"Asian","Male","Less than Bachelors degree"
28.0,75.0,"Asian","Male","Less than Bachelors degree"
29.0,29.0,"Asian","Nonbinary","More than Bachelors degree"
30.0,52.0,"Asian","Unspecified","Bachelors degree"
31.0,62.0,"Asian","Male","Bachelors degree"
32.0,46.0,"Asian","Female","Bachelors degree"
33.0,71.0,"Asian","Female","Bachelors degree"
34.0,46.0,"Asian","Female","Bachelors degree"
35.0,54.0,"Asian","Female","Bachelors degree"
36.0,62.0,"Asian","Female","Bachelors degree"
37.0,30.0,"Asian","Female","Bachelors degree"
38.0,36.0,"Asian","Female","Bachelors degree"
39.0,22.0,"Asian","Female","Bachelors degree"
40.0,61.0,"Asian","Female","Bachelors degree"
41.0,72.0,"Asian","Female","Bachelors degree"
42.0,57.0,"Asian","Female","Bachelors degree"
43.0,40.0,"Asian","Female","Less than Bachelors degree"
44.0,67.0,"Asian","Female","More than Bachelors degree"
45.0,43.0,"Asian","Male","More than Bachelors degree"
46.0,44.0,"Asian","Female","More than Bachelors degree"
47.0,59.0,"Asian","Male","More than Bachelors degree"
48.0,59.0,"Asian","Female","More than Bachelors degree"
49.0,62.0,"Asian","Male","More than Bachelors degree"
50.0,72.0,"Asian","Female","More than Bachelors degree"
51.0,57.0,"Asian","Male","More than Bachelors degree"
52.0,44.0,"Asian","Female","More than Bachelors degree"
53.0,60.0,"Asian","Male","More than Bachelors degree"
54.0,65.0,"Asian","Female","More than Bachelors degree"
55.0,69.0,"Asian","Male","More than Bachelors degree"
56.0,43.0,"Asian","Female","More than Bachelors degree"
57.0,22.0,"Asian","Male","More than Bachelors degree"
58.0,39.0,"Asian","Female","More than Bachelors degree"
59.0,38.0,"Asian","Male","More than Bachelors degree"
60.0,43.0,"Asian","Female","More than Bachelors degree"
61.0,35.0,"Asian","Male","More than Bachelors degree"
62.0,47.0,"Asian","Female","More than Bachelors degree"
63.0,36.0,"Asian","Male","More than Bachelors degree"
64.0,27.0,"Asian","Female","More than Bachelors degree"
65.0,56.0,"Asian","Male","More than Bachelors degree"
66.0,32.0,"Asian","Female","More than Bachelors degree"
67.0,27.0,"Asian","Male","More than Bachelors degree"
68.0,53.0,"Asian","Female","More than Bachelors degree"
69.0,25.0,"Asian","Male","More than Bachelors degree"
70.0,34.0,"Asian","Female","More than Bachelors degree"
71.0,27.0,"Asian","Male","More than Bachelors degree"
72.0,42.0,"Asian","Female","Bachelors degree"
73.0,51.0,"Asian","Male","Bachelors degree"
74.0,51.0,"Asian","Female","Bachelors degree"
75.0,42.0,"Asian","Male","Bachelors degree"
76.0,71.0,"Asian","Female","Bachelors degree"
77.0,27.0,"Asian","Male","Bachelors degree"
78.0,51.0,"Asian","Female","Bachelors degree"
79.0,54.0,"Asian","Male","Bachelors degree"
80.0,49.0,"Asian","Female","Bachelors degree"
81.0,61.0,"Asian","Male","Bachelors degree"
82.0,51.0,"Asian","Female","Bachelors degree"
83.0,24.0,"Asian","Male","Bachelors degree"
84.0,62.0,"Asian","Female","Bachelors degree"
85.0,69.0,"Asian","Male","Bachelors degree"
86.0,49.0,"Asian","Female","Bachelors degree"
87.0,49.0,"Asian","Male","Bachelors degree"
88.0,36.0,"Asian","Female","Bachelors degree"
89.0,46.0,"Asian","Male","Bachelors degree"
90.0,32.0,"Asian","Female","Bachelors degree"
91.0,70.0,"Asian","Male","Bachelors degree"
92.0,30.0,"Asian","Female","Bachelors degree"
93.0,22.0,"Asian","Male","Bachelors degree"
94.0,51.0,"Asian","Female","Bachelors degree"
95.0,65.0,"Asian","Male","Bachelors degree"
96.0,38.0,"Asian","Female","Bachelors degree"
97.0,69.0,"Asian","Male","Bachelors degree"
98.0,60.0,"Asian","Female","Bachelors degree"
99.0,68.0,"Asian","Male","Bachelors degree"
100.0,66.0,"Asian","Female","Bachelors degree"
101.0,40.0,"Asian","Male","Bachelors degree"
102.0,56.0,"Asian","Female","Bachelors degree"
103.0,33.0,"Asian","Male","Bachelors degree"
104.0,68.0,"Asian","Female","Bachelors degree"
105.0,22.0,"Asian","Male","Bachelors degree"
106.0,65.0,"Asian","Female","Bachelors degree"
107.0,27.0,"Asian","Male","Bachelors degree"
108.0,47.0,"Asian","Female","Bachelors degree"
109.0,36.0,"Asian","Male","Bachelors degree"
110.0,24.0,"Asian","Female","Bachelors degree"
111.0,54.0,"Asian","Male","Bachelors degree"
112.0,53.0,"Asian","Female","Bachelors degree"
113.0,62.0,"Asian","Male","Bachelors degree"
114.0,72.0,"Asian","Female","Bachelors degree"
115.0,43.0,"Asian","Male","Bachelors degree"
116.0,60.0,"Asian","Female","Bachelors degree"
117.0,48.0,"Asian","Male","Bachelors degree"
118.0,50.0,"Asian","Female","Bachelors degree"
119.0,30.0,"Asian","Male","Bachelors degree"
120.0,29.0,"Asian","Female","Bachelors degree"
121.0,41.0,"Asian","Male","Bachelors degree"
122.0,45.0,"Asian","Female","Bachelors degree"
123.0,40.0,"Asian","Male","Bachelors degree"
124.0,25.0,"Asian","Female","More than Bachelors degree"
125.0,38.0,"Asian","Male","Bachelors degree"
126.0,33.0,"Asian","Female","Bachelors degree"
127.0,65.0,"Asian","Male","Bachelors degree"
128.0,45.0,"Asian","Female","Bachelors degree"
129.0,43.0,"Asian","Male","Bachelors degree"
130.0,47.0,"Asian","Female","More than Bachelors degree"
131.0,42.0,"Asian","Male","Bachelors degree"
132.0,71.0,"Asian","Female","More than Bachelors degree"
133.0,70.0,"Asian","Male","Bachelors degree"
134.0,60.0,"Asian","Female","Bachelors degree"
135.0,29.0,"Asian","Male","Bachelors degree"
136.0,66.0,"Asian","Female","Bachelors degree"
137.0,38.0,"Asian","Male","Bachelors degree"
138.0,36.0,"Asian","Female","Bachelors degree"
139.0,72.0,"Asian","Male","Bachelors degree"
140.0,66.0,"Asian","Female","Bachelors degree"
141.0,68.0,"Asian","Male","Bachelors degree"
142.0,69.0,"Asian","Female","Bachelors degree"
143.0,54.0,"Asian","Male","Bachelors degree"
144.0,71.0,"Asian","Female","Bachelors degree"
145.0,32.0,"Asian","Male","Bachelors degree"
146.0,39.0,"Asian","Female","Bachelors degree"
147.0,44.0,"Asian","Male","Bachelors degree"
148.0,33.0,"Asian","Female","Bachelors degree"
149.0,55.0,"Asian","Male","Bachelors degree"
150.0,31.0,"Asian","Female","Bachelors degree"
151.0,44.0,"Asian","Male","Bachelors degree"
152.0,26.0,"Asian","Female","Bachelors degree"
153.0,65.0,"Asian","Male","Bachelors degree"
154.0,31.0,"Asian","Female","Bachelors degree"
155.0,54.0,"Asian","Male","Bachelors degree"
